,mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0,365.0037999999986,r,-0.449709,1.364915,0,0.329477659781012,1
1,365.0113999999958,g,0.250989,1.29886,0,0.1932379163266249,1
2,365.01899999999296,i,0.088003,2.062655,0,0.04266491487912424,1
3,365.02999999999884,z,-2.413317,3.947915,0,0.6112889968502362,1
4,365.0369999999966,Y,-67.88501,62.402573,0,1.087855944657923,1
5,374.9603999999963,r,0.463903,1.721318,0,0.26950453083044507,1
6,374.9679999999935,g,2.485291,2.387509,0,1.0409556571305072,1
7,374.97559999999794,i,-0.008619,2.208022,0,0.0039034937151894316,1
8,374.98649999999907,z,-1.401097,2.486563,0,0.5634673241739703,1
9,374.9974999999977,Y,-7.680825,5.103794,0,1.5049245717989401,1
10,379.8660999999993,r,-1.430612,0.920955,0,1.55340054617218,1
11,379.87369999999646,g,0.330712,0.807943,0,0.409325905416595,1
12,379.88129999999364,i,-0.859905,1.317397,0,0.6527303462813412,1
13,379.8922999999995,z,0.188107,1.866381,0,0.10078703115816116,1
14,379.9031999999934,Y,-3.362258,4.708038,0,0.7141526895067543,1
15,385.86599999999453,u,-4.531681,2.266059,0,1.999807154182658,1
16,390.85859999999957,r,1.550437,1.111443,0,1.3949766204834617,1
17,390.86619999999675,g,1.205124,1.000712,0,1.2042665622077082,1
18,390.87379999999393,i,-0.903424,1.459941,0,0.6188085682914584,1
19,390.8847999999998,z,-0.945125,1.868166,0,0.5059106096567436,1
20,390.89569999999367,Y,-2.637814,4.643606,0,0.5680529312779766,1
21,393.8307999999961,r,1.057313,2.319468,0,0.4558428915596162,1
22,393.83839999999327,g,4.205206,3.539234,0,1.188168400280965,1
23,393.84599999999773,i,-1.272415,2.455482,0,0.5181935766582692,1
24,393.85689999999886,z,-2.324612,2.878998,0,0.8074378655351618,1
25,393.86789999999746,Y,5.450644,6.54893,0,0.8322953520651464,1
26,405.80509999999776,r,0.526953,1.025754,0,0.5137225884568815,1
27,405.81269999999495,g,0.094055,1.112654,0,0.08453211869997321,1
28,405.8202999999994,i,1.627313,1.832244,0,0.8881529970899072,1
29,405.831299999998,z,-3.504674,2.739992,0,1.2790818367352899,1
30,405.84219999999914,Y,1.217779,5.913023,0,0.20594863236621944,1
31,408.7867999999944,r,0.573076,1.049142,0,0.546233017074905,1
32,408.79439999999886,g,-0.805067,0.951916,0,0.8457332369662869,1
33,408.8020999999935,i,-1.254097,1.667107,0,0.7522594530525036,1
34,408.81299999999464,z,3.012069,2.500444,0,1.204613660613875,1
35,408.82399999999325,Y,-1.628113,6.107203,0,0.26658897698340794,1
36,414.804999999993,u,0.407456,1.827442,0,0.22296521585910797,1
37,415.7815999999948,u,2.112021,1.632651,0,1.2936144956883007,1
38,416.7869999999966,u,-1.443472,1.866831,0,0.7732205004095176,1
39,420.9027999999962,r,8.136966,1.124613,0,7.235347626250095,1
40,420.9103999999934,g,8.02043,1.04874,1,7.6476819802810985,1
41,420.91799999999785,i,4.723755,1.726158,0,2.7365716232233663,1
42,420.92899999999645,z,7.048635,3.091757,0,2.2798153283068494,1
43,420.9398999999976,Y,0.501996,8.00109,0,0.06274095154535195,1
44,433.75969999999506,r,21.801842,1.005707,1,21.678124940961933,1
45,433.7672999999995,g,12.966988,1.244577,1,10.41879128410697,1
46,433.7749999999942,i,19.272552,1.611913,1,11.956322704761362,1
47,433.7858999999953,z,21.191538,2.280313,1,9.29325842548808,1
48,433.7968999999939,Y,28.744495,5.460164,0,5.26440139893234,1
49,436.7101999999941,r,22.3146,1.457753,1,15.307531522829997,1
50,436.71779999999853,g,13.184469,1.214448,1,10.856347081143038,1
51,436.7253999999957,i,24.568815,1.992135,1,12.33290665542245,1
52,436.7363999999943,z,22.433432,2.904568,1,7.723500362188112,1
53,436.74729999999545,Y,16.460022,6.814453,0,2.41545755763522,1
54,444.7337999999945,u,-0.300662,1.467421,0,0.2048914387895498,1
55,445.72350000000006,u,3.18618,1.668347,0,1.9097825572258047,1
56,446.74959999999555,u,1.432382,1.591174,0,0.9002045030901711,1
57,448.68449999999575,r,17.956779,0.892996,1,20.10846521149031,1
58,448.69209999999293,g,6.368352,0.957382,1,6.651840122333614,1
59,448.69979999999487,i,28.5172,1.263417,1,22.571486690459285,1
60,448.710699999996,z,22.517649,1.836128,1,12.263659723069415,1
61,448.7216999999946,Y,20.546967,4.31549,0,4.76121297929088,1
62,462.684699999998,r,4.424625,1.023436,1,4.323304046369289,1
63,462.6923999999999,g,-0.333054,1.041951,0,0.3196445898127647,1
64,462.6999999999971,i,13.785045,1.496341,1,9.212502364100162,1
65,462.7108999999982,z,12.356587,1.936357,1,6.381357879771136,1
66,462.7218999999968,Y,11.252696,5.219649,0,2.1558338501305356,1
67,467.6689999999944,r,5.985635,1.041925,0,5.74478489334645,1
68,467.67659999999887,g,1.010644,1.017136,0,0.9936173727013891,1
69,467.68419999999605,i,11.351344,1.366204,1,8.308674253625373,1
70,467.69519999999466,z,13.815151,1.889025,0,7.313376477283255,1
71,467.7060999999958,Y,16.371199,4.610141,0,3.5511276119320434,1
72,468.68009999999776,u,0.200313,1.867027,0,0.1072898249462916,1
73,469.6677999999956,u,0.254096,1.531875,0,0.16587254181966543,1
74,470.6671999999962,u,1.83142,1.493368,0,1.2263688521516465,1
75,471.66649999999936,u,-1.79326,1.466291,0,1.2229905250731268,1
76,472.6663999999946,u,0.528529,1.468339,0,0.35995025671864606,1
77,473.66479999999865,u,0.992479,1.653686,0,0.6001616993794469,1
78,474.66449999999895,u,-0.225682,1.5849,0,0.14239510379203735,1
79,489.6554999999935,r,1.997025,1.493088,0,1.337513261107182,1
80,489.66309999999794,g,3.881303,2.055828,0,1.8879512293830027,1
81,489.6706999999951,i,2.837237,2.061052,0,1.3765965147895347,1
82,489.6816999999937,z,8.880102,2.406093,0,3.690672804417785,1
83,489.69259999999485,Y,8.420625,5.72514,0,1.4708155608421802,1
84,494.6534999999931,r,2.38939,0.715394,0,3.3399637123039896,1
85,494.66109999999753,g,0.765529,0.720316,0,1.062768285030459,1
86,494.6686999999947,i,4.396849,1.153852,1,3.81058315971199,1
87,494.67959999999584,z,6.884265,1.828213,0,3.7655705325364166,1
88,494.69059999999445,Y,2.694899,4.922449,0,0.5474711876141327,1
89,497.66109999999753,u,0.377653,1.98386,0,0.1903627272085732,1
