mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
367.0329999999958,r,45.584675,1.967153,1,23.172917917416694,1
367.04060000000027,g,26.025042,2.629844,1,9.896040221397163,1
367.04819999999745,i,61.114891,2.208798,1,27.668845679867513,1
367.05919999999605,z,58.019222,2.686027,1,21.60038674220326,1
367.0700999999972,Y,71.763878,5.880515,1,12.203672297409327,1
369.9742999999944,r,44.468998,1.078988,1,41.213616833551434,1
369.98189999999886,g,21.972662,0.982131,1,22.372435041761232,1
369.9896000000008,i,57.556747,1.636284,1,35.17527947471221,1
370.00049999999464,z,63.97797,2.360116,1,27.10797689605087,1
370.0115000000005,Y,67.6605,5.755154,1,11.75650556005973,1
372.97320000000036,u,6.546775,2.845679,0,2.300602070718447,1
373.97580000000016,u,5.095075,2.086277,0,2.442185289872821,1
374.9713999999949,u,6.670106,2.224066,0,2.999059380432055,1
375.96809999999823,u,3.02467,2.576485,0,1.173952109171992,1
376.9654999999984,u,7.824541,2.325756,0,3.3643000383531203,1
383.96809999999823,r,37.970676,1.13384,1,33.488566288012414,1
383.9756999999954,g,14.654077,1.023131,1,14.322776848712431,1
383.9832999999999,i,52.927765,1.703449,1,31.07094195364816,1
383.9942999999985,z,60.085453,2.61639,1,22.965021651970847,1
384.0051999999996,Y,68.542793,6.277506,1,10.918793705653169,1
386.9546999999948,r,37.323784,1.777558,1,20.997224281851846,1
386.96229999999923,g,15.67004,2.640255,0,5.935047940445147,1
386.97000000000116,i,48.065571,2.0568,1,23.369102975495917,1
386.980899999995,z,57.177311,2.644867,1,21.618217853676576,1
386.9919000000009,Y,59.997955,5.823988,1,10.301867895332201,1
397.93479999999545,r,27.505661,1.211445,1,22.70483678582189,1
397.9423999999999,g,10.255737,1.170078,1,8.765002845964116,1
397.9499999999971,i,44.413948,1.949396,1,22.783440614426212,1
397.9609999999957,z,50.006557,2.870334,1,17.421859964728842,1
397.9718999999968,Y,58.578461,6.633676,1,8.830467601975133,1
401.0120999999999,r,23.409552,0.676531,1,34.60233455673133,1
401.0196999999971,g,8.323048,0.587116,1,14.176155989617044,1
401.03310000000056,i,35.724079,1.071517,1,33.339722094936434,1
401.05289999999513,z,51.819412,1.713727,1,30.237845351097345,1
401.06379999999626,Y,59.252728,4.268166,1,13.882479734855673,1
410.9261999999944,u,0.435452,1.899427,0,0.2292544014589663,1
413.0095999999976,r,14.86871,0.678897,1,21.901275156614332,1
413.0202999999965,g,4.537027,0.718141,1,6.3177384385517605,1
413.02790000000095,i,26.898714,1.201351,1,22.390387155793768,1
413.0387999999948,z,35.72398,1.950614,1,18.314223111287006,1
413.0498000000007,Y,44.361347,4.794917,0,9.251744503606632,1
415.8741999999984,r,14.72207,1.604403,1,9.176042428242779,1
415.88179999999556,g,3.854435,2.048625,0,1.8814741594972237,1
415.8894999999975,i,28.862028,1.774825,1,16.261900750778246,1
415.9003999999986,z,37.287128,2.446767,1,15.239345634463765,1
415.91129999999976,Y,38.808399,5.085346,1,7.631417606589601,1
434.81729999999516,u,-4.12804,2.684019,0,1.5380069962246914,1
435.80319999999483,u,-0.291108,2.375371,0,0.12255264546043544,1
436.80369999999675,u,-4.227871,2.212503,0,1.9108995558424104,1
437.80429999999615,u,-1.285898,2.203644,0,0.5835325488145998,1
438.8116000000009,u,3.746157,2.102586,0,1.781690261420936,1
439.8266999999978,u,-1.248373,2.490811,0,0.5011913790327729,1
441.78429999999935,r,6.53159,1.288215,0,5.070263892285061,1
441.79189999999653,g,-0.520217,1.436815,0,0.3620626176647655,1
441.799500000001,i,15.339913,1.873876,1,8.186194283933407,1
441.8104999999996,z,19.435526,2.702894,1,7.190635666807503,1
441.8214000000007,Y,21.81699,5.72808,0,3.808778857837181,1
444.84820000000036,r,5.307841,2.324973,0,2.2829688774880394,1
444.85579999999754,g,-0.998065,3.526468,0,0.28302114183369875,1
444.8633999999947,i,9.742813,2.943426,0,3.31002478064677,1
444.8744000000006,z,19.317432,3.536272,1,5.462654456444527,1
444.88529999999446,Y,26.18107,6.802207,0,3.8489081558382447,1
452.7924999999959,r,4.830276,0.898074,0,5.37848328756873,1
452.8001000000004,g,0.619171,0.871441,0,0.71051396480083,1
452.80769999999757,i,10.796638,1.466784,1,7.360755230490651,1
452.8185999999987,z,16.709307,2.112782,1,7.908675386291628,1
452.8295999999973,Y,27.148355,5.803926,0,4.677584621168498,1
455.7952000000005,r,5.58191,0.971018,1,5.7485134158172135,1
455.80289999999513,g,1.636426,0.904711,0,1.808783136272246,1
455.8104999999996,i,8.694986,1.401761,1,6.202901921226229,1
455.8214000000007,z,15.42968,1.957386,0,7.882798793901662,1
455.8323999999993,Y,19.431179,4.550586,0,4.270038847744005,1
458.7956999999951,r,3.734053,0.693957,1,5.380813220415674,1
458.8032999999996,g,0.792302,0.605206,0,1.309144324411853,1
458.81089999999676,i,9.788953,1.160323,1,8.436403484202243,1
458.82189999999537,z,13.164644,1.805363,1,7.2919651061864,1
458.8327999999965,Y,9.066214,4.411202,0,2.0552706495871194,1
461.79769999999553,r,3.748919,0.830277,0,4.515262978499946,1
461.8053,g,0.788593,0.809682,0,0.9739539720532258,1
461.81289999999717,i,8.668118,1.394369,0,6.216516574880824,1
461.8238999999958,z,7.670134,2.320631,0,3.305193285791666,1
461.8347999999969,Y,22.730968,6.77951,0,3.3528924656796733,1
464.8041000000012,u,1.484128,1.578489,0,0.9402206793965621,1
465.79989999999816,u,-1.418289,1.523071,0,0.9312034698316755,1
466.8006999999998,u,-1.151159,1.436227,0,0.8015160556095938,1
