flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
,3.771785,3.987329,0.168501,-0.038172,7.183821
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1.153139,,,,,
2.188869,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1.055485,0.629335,1.465888,4.687183,-4.43985
,,,,,
,,,,,
,-3.051507,1.666399,-2.910103,-2.71293,5.177975
,,,,,
,,,,,
,-0.995551,2.494559,1.018932,1.659537,14.555042
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2.124016,-0.064628,-0.30692,2.739084,-9.285308
,,,,,
,,,,,
,0.407695,-0.914332,0.476453,0.289648,2.915106
,,,,,
,,,,,
,,,,,
,,,,,
-2.053972,,,,,
-0.817542,,,,,
3.427469,,,,,
-2.076058,,,,,
1.23901,,,,,
1.751079,,,,,
-0.707121,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2.348073,2.06581,-1.010114,-0.191887,-6.917301
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-0.211042,1.510203,-1.683816,1.789117,4.854932
,,,,,
,,,,,
,-0.816066,-0.756321,-1.257307,-3.525337,10.306688
,,,,,
,,,,,
,1.666369,-2.577787,2.225152,-0.864574,-0.524704
,,,,,
-1.918676,,,,,
-5.029068,,,,,
1.210894,,,,,
-2.325346,,,,,
1.00628,,,,,
-1.054186,,,,,
-0.905325,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1.349728,1.09338,-0.176454,-4.150447,-6.566474
,,,,,
,,,,,
,-6.770273,-2.705398,-2.078948,-7.627614,9.906085
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.838395,4.272196,6.40664,4.807236,-1.70545
,,,,,
,,,,,
,3.670405,16.604322,16.029718,16.32016,27.382965
,,,,,
,,,,,
,10.770281,29.184639,28.209745,23.914074,38.007885
,,,,,
,,,,,
7.940925,,,,,
4.653767,,,,,
7.184852,,,,,
7.391125,,,,,
10.099853,,,,,
6.632849,,,,,
,,,,,
,,,,,
,,,,,
,39.903408,91.619354,77.026451,81.109482,78.525505
,,,,,
,,,,,
,40.773224,89.896378,85.916008,85.812943,73.446709
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
