flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
,-6.254119,-9.70426,-14.133678,-13.675508,-11.208621
,,,,,
,,,,,
,-9.108886,-8.586939,-8.671085,-11.839132,-9.783484
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-7.144994,,,,,
-6.735919,,,,,
-6.099628,,,,,
-6.241761,,,,,
-8.702415,,,,,
-7.611829,,,,,
,,,,,
,,,,,
,-4.714463,-5.414756,-3.914433,-4.908569,-13.117204
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-0.729191,-0.819725,-1.130479,-2.961571,-2.328191
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7.719488,,,,,
,,,,,
,,,,,
,9.139332,6.783854,5.027687,8.442675,4.877302
,,,,,
,,,,,
,6.351461,10.699138,12.147045,14.205656,8.23597
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-0.4194,0.88622,1.746356,-4.148854,-5.856314
,,,,,
,,,,,
,-2.926737,-2.010575,-3.489828,2.910959,-4.857481
,,,,,
,,,,,
,-3.86218,-2.205259,-3.72011,-0.455642,-5.060802
-3.819658,,,,,
-1.782944,,,,,
-6.200044,,,,,
-6.461234,,,,,
-11.08245,,,,,
-6.28973,,,,,
-6.331942,,,,,
,,,,,
,,,,,
,,,,,
,-9.563149,-8.307932,-8.886149,-12.961842,-8.943098
,,,,,
,,,,,
,-9.651212,-10.860172,-10.708667,-20.240427,-11.338091
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-8.004014,-8.126748,-8.786654,-13.290803,-15.300831
,,,,,
,,,,,
,-9.152704,-10.619354,-12.174077,-18.056028,-24.791641
,,,,,
,,,,,
,-10.692006,-10.422272,-11.547587,-24.047903,-2.430432
,,,,,
-15.696884,,,,,
-12.614518,,,,,
-14.161563,,,,,
-10.92233,,,,,
-7.223194,,,,,
-9.860561,,,,,
-11.172107,,,,,
,,,,,
,,,,,
,,,,,
,-8.467082,-8.12851,-9.100629,-12.925582,-10.336695
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-8.01653,-9.684097,-8.570099,-13.194302,-11.71484
,,,,,
,,,,,
,-8.552969,-9.999164,-9.9456,-13.833478,-17.112381
,,,,,
,,,,,
,-9.776462,-8.149342,-10.186425,-14.785823,-19.087563
,,,,,
,,,,,
,-7.996855,-9.525567,-11.288967,-11.555843,-14.93692
-9.12578,,,,,
-9.410526,,,,,
-6.851476,,,,,
-9.850614,,,,,
-5.238489,,,,,
-11.264067,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
