flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
,0.100359,-0.749205,-0.010815,-2.658588,0.369763
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-1.361232,0.73375,-0.019218,3.951693,5.775152
,,,,,
,,,,,
,0.774133,-0.779581,0.641623,-0.257997,-2.048828
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-0.555176,-1.990522,0.204137,1.467063,-11.008511
,,,,,
,,,,,
,1.351453,2.111767,-0.04267,1.514432,-2.095726
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,3.075425,-0.473894,1.971461,3.731186,-2.506356
,,,,,
,,,,,
,1.32242,-0.023321,0.074607,1.213694,1.924179
,,,,,
,,,,,
,-1.043226,0.329881,1.125576,-1.764139,-3.332747
,,,,,
,,,,,
,,,,,
-1.364322,,,,,
-0.717265,,,,,
0.894903,,,,,
-2.280706,,,,,
-0.223729,,,,,
-0.790509,,,,,
,,,,,
,,,,,
,0.869086,-0.665055,-0.376986,2.381545,15.578611
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-2.864715,1.899481,4.423072,9.221083,6.423346
,,,,,
,,,,,
,0.283949,2.182283,4.162676,9.129085,10.126227
,,,,,
,,,,,
,-0.683691,1.445461,5.190579,10.525432,13.564573
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-1.503056,,,,,
,,,,,
,,,,,
,0.267358,2.120967,4.337688,3.190339,-1.870037
,,,,,
,,,,,
,2.435154,2.27343,3.432675,4.713996,5.56056
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.116547,1.078189,2.238247,1.206819,6.866813
,,,,,
,,,,,
,-0.111647,-0.201002,2.196368,0.331819,6.656703
,,,,,
,,,,,
,1.737682,0.72283,0.947062,2.930986,-1.300685
,,,,,
0.538803,,,,,
1.180366,,,,,
-0.895325,,,,,
-1.12519,,,,,
2.339342,,,,,
1.030316,,,,,
-1.135482,,,,,
,,,,,
,,,,,
,,,,,
,1.409408,-0.465085,1.114396,1.097086,1.831238
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.060615,1.751829,-0.191756,1.301443,0.036197
,,,,,
,,,,,
,-1.344732,0.290773,0.110295,-0.156542,12.106689
,,,,,
,,,,,
,1.07849,0.076277,2.666803,1.105205,-1.572201
,,,,,
,,,,,
-0.760371,,,,,
1.124664,,,,,
-0.589024,,,,,
-1.994802,,,,,
-0.341822,,,,,
-0.454122,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
