flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
,4.992508,6.187574,11.26329,5.417078,
,,,,,
,2.122907,6.663726,8.481776,11.314652,25.516369
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2.330908,5.23812,7.670609,12.317941,15.49908
,,,,,
,,,,,
,3.10351,1.071555,7.047411,8.834136,17.370802
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1.881591,1.716759,5.282257,3.706871,24.05637
,,,,,
,,,,,
,-0.238437,-1.335431,-1.432489,9.983779,6.51965
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-0.793909,-0.86458,1.865566,7.567558,1.612413
,,,,,
,,,,,
,-6.534119,2.026152,1.832959,2.857573,23.824905
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-1.662861,0.410062,0.535703,1.107573,0.277352
,,,,,
,,,,,
,1.308894,-0.612162,2.755513,1.914797,0.566423
,,,,,
,,,,,
,1.068893,0.421625,1.070765,-3.152018,5.361526
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1.534171,,,,,
0.123256,,,,,
-2.33955,,,,,
4.532661,,,,,
-3.558414,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-3.717304,0.430721,-0.879915,0.462613,-8.897038
,,,,,
,,,,,
,,,,,
,-0.2824,1.59494,3.227732,0.793102,13.581978
,,,,,
,,,,,
,-0.322571,-0.064662,1.573749,-0.568524,-0.688326
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-0.962766,,,,,
,,,,,
,,,,,
,0.057207,-0.692868,0.316591,3.557938,0.889913
,,,,,
,,,,,
,-1.976633,-0.513179,0.593067,0.748871,-1.644228
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.359269,1.160482,0.033973,4.033995,-0.928624
,,,,,
,,,,,
,0.202965,0.107237,2.601265,1.247968,-7.363365
,,,,,
,,,,,
,-1.814257,0.569296,-1.940465,-0.798738,-2.689172
,,,,,
,,,,,
,0.304915,-0.530737,-0.712736,-0.113954,-2.211928
0.541596,,,,,
-0.017341,,,,,
2.33606,,,,,
1.914534,,,,,
-1.028332,,,,,
-0.303791,,,,,
-0.915703,,,,,
,,,,,
,,,,,
,,,,,
,-1.387398,0.735936,-1.648249,0.815015,0.233775
,,,,,
,,,,,
,-0.615278,-1.873984,0.941539,-3.426807,4.444021
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
