flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
5.22616,,,,,
-0.170995,,,,,
4.601772,,,,,
2.315646,,,,,
0.689343,,,,,
,,,,,
,5.31925,10.317454,8.571081,11.125465,17.285204
,,,,,
,,,,,
,7.555067,8.716396,7.522924,11.873363,0.709714
,,,,,
,,,,,
,6.583116,8.511396,6.291656,7.704825,11.543507
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-0.557592,1.71746,1.584652,2.376415,9.166601
,,,,,
,,,,,
,0.129369,1.598771,6.054652,9.644127,6.002181
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-3.47914,,,,,
,-0.610958,4.022248,1.935154,0.577323,2.271969
,,,,,
,,,,,
,-2.043606,-1.750816,6.010636,5.785625,4.71708
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2.564875,0.773186,2.402007,0.343721,8.838
,,,,,
,,,,,
,-1.378855,1.33823,2.472046,5.792219,-17.626812
,,,,,
,,,,,
,-0.382297,0.753826,-0.787675,1.17729,-1.959959
,,,,,
,,,,,
,,,,,
-1.040877,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1.274654,0.020924,0.004194,4.369637,8.852809
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-2.730679,-3.592227,1.667289,1.511759,14.088853
,,,,,
,,,,,
,-0.707944,-0.712442,1.031568,7.393844,-5.251367
,,,,,
,,,,,
,0.40567,0.601454,0.468783,-0.965985,2.865095
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-4.376019,,,,,
1.359403,,,,,
-2.365627,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
