flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y
,-0.952758,2.391485,-2.271177,-2.345378,-5.19569
,,,,,
,,,,,
,0.915401,1.810987,0.67304,2.682338,2.878909
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.560085,,,,,
2.24542,,,,,
-1.575556,,,,,
0.316808,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1.469753,-0.94996,2.162136,4.784799,11.26332
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-1.874515,,,,,
0.99927,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.407292,-0.159266,1.129081,3.928226,1.668536
,,,,,
,,,,,
,-0.941292,3.775341,2.351201,0.334298,19.191622
,,,,,
,,,,,
,2.992037,0.583835,-0.114615,-3.591851,-6.101836
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,-1.409679,-1.020535,-0.970718,1.740393,0.659025
,,,,,
,,,,,
,1.56441,-0.60532,0.287935,2.916599,-7.796191
,,,,,
,,,,,
,,,,,
,,,,,
-0.812943,,,,,
0.668333,,,,,
2.022023,,,,,
-2.141672,,,,,
-2.722546,,,,,
-3.138011,,,,,
0.370586,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,11.370864,6.44345,3.446755,6.800385,2.105788
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,13.410643,8.16563,5.192809,7.310327,9.40806
,,,,,
,,,,,
,13.717072,11.747221,6.712587,4.609312,1.641959
,,,,,
,,,,,
,15.196615,11.183625,11.626052,3.462564,12.588341
,,,,,
12.937894,,,,,
10.924619,,,,,
16.191494,,,,,
15.975734,,,,,
14.522547,,,,,
11.102138,,,,,
15.507067,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,13.683941,11.742558,11.327381,10.143175,8.771163
,,,,,
,,,,,
,23.467325,16.136599,8.780165,12.197492,10.291506
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,16.695202,14.262523,10.229824,11.51875,8.86394
,,,,,
,,,,,
,17.261955,15.006644,10.945881,8.7502,8.998884
,,,,,
,,,,,
,17.307331,13.94057,13.039093,10.730803,10.279341
,,,,,
,,,,,
14.523302,,,,,
14.865686,,,,,
14.890583,,,,,
16.040426,,,,,
16.689766,,,,,
16.131979,,,,,
,,,,,
,,,,,
,,,,,
,15.837509,13.062967,13.141173,10.317876,12.539012
,,,,,
,,,,,
,19.499701,12.809728,10.372125,12.746381,0.716647
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
